date,open,high,low,close,volume
2022-11-09 13:05:00,51.190,52.500,51.000,52.000,327340
2022-11-09 13:10:00,52.000,52.200,51.490,51.490,113720
2022-11-09 13:15:00,51.500,51.500,50.490,51.330,51400
2022-11-09 13:20:00,51.330,51.940,51.000,51.550,86420
2022-11-09 13:25:00,51.750,51.780,51.500,51.770,55900
2022-11-09 13:30:00,51.710,51.760,50.900,51.550,67820
2022-11-09 13:35:00,51.550,51.630,50.900,50.990,34560
2022-11-09 13:40:00,51.000,51.000,50.560,50.750,28100
2022-11-09 13:45:00,50.900,50.980,50.450,50.450,160300
2022-11-09 13:50:00,50.430,50.450,50.110,50.200,63340
2022-11-09 13:55:00,50.200,51.500,50.180,51.500,92600
2022-11-09 14:00:00,51.490,51.600,50.780,51.000,162100
2022-11-09 14:05:00,51.080,51.300,50.780,51.220,39900
2022-11-09 14:10:00,51.070,51.070,50.300,50.300,48800
2022-11-09 14:15:00,50.380,50.820,50.190,50.780,46640
2022-11-09 14:20:00,50.780,50.820,50.230,50.820,66572
2022-11-09 14:25:00,50.900,51.170,50.600,50.600,47440
2022-11-09 14:30:00,50.990,51.100,50.900,51.070,53680
2022-11-09 14:35:00,51.020,51.050,50.230,50.260,72240
2022-11-09 14:40:00,50.260,50.790,50.260,50.700,45360
2022-11-09 14:45:00,50.690,50.840,50.380,50.840,108660
2022-11-09 14:50:00,50.840,51.480,50.840,51.380,184248
2022-11-09 14:55:00,51.350,52.280,51.200,52.280,248720
2022-11-09 15:00:00,52.280,53.000,52.280,52.760,294697
2022-11-10 09:35:00,54.500,54.600,49.120,51.200,1792740
2022-11-10 09:40:00,51.200,53.570,51.160,51.410,591220
2022-11-10 09:45:00,51.400,52.990,51.310,52.820,379519
2022-11-10 09:50:00,52.820,54.300,52.600,53.500,609287
2022-11-10 09:55:00,53.510,55.800,53.510,55.570,530820
2022-11-10 10:00:00,55.570,55.640,54.650,55.200,411280
2022-11-10 10:05:00,55.200,57.000,55.000,56.300,617620
2022-11-10 10:10:00,56.480,57.090,54.450,55.990,382260
2022-11-10 10:15:00,55.990,56.380,55.000,55.600,147840
2022-11-10 10:20:00,55.330,55.500,53.510,53.800,302760
2022-11-10 10:25:00,53.800,54.900,53.800,54.380,132300
2022-11-10 10:30:00,54.880,55.500,54.360,55.450,77460
2022-11-10 10:35:00,55.450,56.430,55.000,55.500,203300
2022-11-10 10:40:00,55.500,55.500,54.520,55.210,57600
2022-11-10 10:45:00,55.200,56.200,55.200,55.370,49400
2022-11-10 10:50:00,55.400,57.000,55.400,56.100,113440
2022-11-10 10:55:00,56.100,56.580,56.080,56.500,57180
2022-11-10 11:00:00,56.500,56.510,54.500,55.150,86200
2022-11-10 11:05:00,55.500,55.600,55.150,55.320,42540
2022-11-10 11:10:00,55.320,56.220,55.320,56.200,51240
2022-11-10 11:15:00,56.180,56.180,55.510,56.160,56500
2022-11-10 11:20:00,56.100,56.560,55.860,56.280,52880
2022-11-10 11:25:00,56.100,56.770,56.100,56.410,49520
2022-11-10 11:30:00,56.400,57.000,56.100,56.990,78951
2022-11-10 13:05:00,57.000,57.150,56.800,56.800,139140
2022-11-10 13:10:00,56.950,56.950,55.850,56.570,59820
2022-11-10 13:15:00,56.800,56.800,56.100,56.150,16180
2022-11-10 13:20:00,56.100,56.980,55.640,56.020,71360
2022-11-10 13:25:00,56.400,56.450,55.700,56.000,45440
2022-11-10 13:30:00,55.700,56.380,55.390,56.280,81500
2022-11-10 13:35:00,56.280,57.210,55.540,56.000,190020
2022-11-10 13:40:00,56.000,56.970,55.900,56.770,128400
2022-11-10 13:45:00,56.600,56.600,55.560,55.600,36700
2022-11-10 13:50:00,55.560,55.750,55.180,55.180,62600
2022-11-10 13:55:00,55.160,55.500,54.700,55.500,65740
2022-11-10 14:00:00,55.490,55.600,54.900,54.900,66880
2022-11-10 14:05:00,54.900,54.900,53.650,54.450,225904
2022-11-10 14:10:00,54.450,55.580,54.260,54.260,93500
2022-11-10 14:15:00,54.260,54.260,53.210,53.250,182900
2022-11-10 14:20:00,53.250,53.870,53.000,53.470,183000
2022-11-10 14:25:00,53.380,53.400,52.370,52.740,194246
2022-11-10 14:30:00,52.800,55.000,52.700,54.960,181920
2022-11-10 14:35:00,54.940,54.960,54.600,54.770,109480
2022-11-10 14:40:00,54.770,55.000,54.730,54.970,123800
2022-11-10 14:45:00,54.970,55.000,54.500,54.500,86420
2022-11-10 14:50:00,54.500,54.500,52.780,53.520,104840
2022-11-10 14:55:00,53.550,54.100,53.000,53.800,136000
2022-11-10 15:00:00,53.990,54.650,53.820,54.390,253600
2022-11-11 09:35:00,54.390,54.390,51.580,51.600,1325100
2022-11-11 09:40:00,51.660,52.800,50.650,52.320,681491
2022-11-11 09:45:00,52.320,52.420,51.720,52.360,226220
2022-11-11 09:50:00,52.380,52.970,51.880,52.120,183040
2022-11-11 09:55:00,52.200,52.450,51.580,51.580,251200
2022-11-11 10:00:00,51.580,51.630,50.970,51.550,201380
2022-11-11 10:05:00,51.550,51.810,50.550,50.550,283160
2022-11-11 10:10:00,50.560,51.810,50.200,50.900,525347
2022-11-11 10:15:00,50.930,51.560,50.800,51.510,216980
2022-11-11 10:20:00,51.510,52.110,51.470,51.910,137844
2022-11-11 10:25:00,52.000,52.500,51.510,52.500,99400
2022-11-11 10:30:00,52.520,52.990,52.490,52.900,227725
2022-11-11 10:35:00,52.900,53.170,52.830,53.070,227120
2022-11-11 10:40:00,53.090,53.100,52.830,52.860,100140
2022-11-11 10:45:00,52.930,54.390,52.860,54.390,233320
2022-11-11 10:50:00,54.400,55.090,54.000,54.000,203300
2022-11-11 10:55:00,54.100,55.380,53.800,55.380,123900
2022-11-11 11:00:00,55.380,55.500,54.350,54.910,114700
2022-11-11 11:05:00,54.910,55.210,54.800,55.210,80080
2022-11-11 11:10:00,55.260,55.660,54.460,54.620,173460
2022-11-11 11:15:00,54.620,55.680,54.290,54.990,102280
2022-11-11 11:20:00,54.420,55.000,54.000,54.200,73800
2022-11-11 11:25:00,54.200,54.210,53.680,53.680,26400
